w2,l,z1,L,ngdl,nel,eta,R,file
143178.7206,1.5,0,25.884,14739,4096,1.039288431,16.05715663,SiCube_l1_500_0_000_L_25_884_nx_16.json
376914.938,1.5,0.1,20.436,10125,2744,1.331321764,12.6774862,SiCube_l1_500_0_100_L_20_436_nx_14.json
376186.3464,1.5,0.1,20.436,14739,4096,1.330034393,12.6774862,SiCube_l1_500_0_100_L_20_436_nx_16.json
265381.0259,1.5,0.1,25.884,10125,2744,1.414919684,16.05715663,SiCube_l1_500_0_100_L_25_884_nx_14.json
265959.0776,1.5,0.1,25.884,14739,4096,1.416459832,16.05715663,SiCube_l1_500_0_100_L_25_884_nx_16.json
413665.3383,1.5,0.2,20.436,10125,2744,1.394716449,12.6774862,SiCube_l1_500_0_200_L_20_436_nx_14.json
412833.5187,1.5,0.2,20.436,14739,4096,1.39331346,12.6774862,SiCube_l1_500_0_200_L_20_436_nx_16.json
284085.8657,1.5,0.2,25.884,10125,2744,1.463934573,16.05715663,SiCube_l1_500_0_200_L_25_884_nx_14.json
284532.5816,1.5,0.2,25.884,14739,4096,1.465085116,16.05715663,SiCube_l1_500_0_200_L_25_884_nx_16.json
448389.9922,1.5,0.3,20.436,10125,2744,1.452075883,12.6774862,SiCube_l1_500_0_300_L_20_436_nx_14.json
447452.922,1.5,0.3,20.436,14739,4096,1.450557775,12.6774862,SiCube_l1_500_0_300_L_20_436_nx_16.json
302035.0609,1.5,0.3,25.884,10125,2744,1.509473642,16.05715663,SiCube_l1_500_0_300_L_25_884_nx_14.json
302324.5483,1.5,0.3,25.884,14739,4096,1.510196851,16.05715663,SiCube_l1_500_0_300_L_25_884_nx_16.json
482016.2769,1.5,0.4,20.436,10125,2744,1.505539689,12.6774862,SiCube_l1_500_0_400_L_20_436_nx_14.json
480978.3899,1.5,0.4,20.436,14739,4096,1.503917937,12.6774862,SiCube_l1_500_0_400_L_20_436_nx_16.json
319540.5374,1.5,0.4,25.884,10125,2744,1.552600904,16.05715663,SiCube_l1_500_0_400_L_25_884_nx_14.json
319661.1839,1.5,0.4,25.884,14739,4096,1.552893978,16.05715663,SiCube_l1_500_0_400_L_25_884_nx_16.json
514939.6394,1.5,0.5,20.436,10125,2744,1.556107225,12.6774862,SiCube_l1_500_0_500_L_20_436_nx_14.json
513804.5928,1.5,0.5,20.436,14739,4096,1.554391268,12.6774862,SiCube_l1_500_0_500_L_20_436_nx_16.json
336744.8534,1.5,0.5,25.884,10125,2744,1.593849599,16.05715663,SiCube_l1_500_0_500_L_25_884_nx_14.json
336689.4229,1.5,0.5,25.884,14739,4096,1.593718415,16.05715663,SiCube_l1_500_0_500_L_25_884_nx_16.json
547374.4012,1.5,0.6,20.436,10125,2744,1.60436655,12.6774862,SiCube_l1_500_0_600_L_20_436_nx_14.json
546144.6826,1.5,0.6,20.436,14739,4096,1.60256337,12.6774862,SiCube_l1_500_0_600_L_20_436_nx_16.json
353729.3166,1.5,0.6,25.884,10125,2744,1.633549811,16.05715663,SiCube_l1_500_0_600_L_25_884_nx_14.json
353492.5964,1.5,0.6,25.884,14739,4096,1.633003123,16.05715663,SiCube_l1_500_0_600_L_25_884_nx_16.json
579451.6027,1.5,0.7,20.436,10125,2744,1.650706803,12.6774862,SiCube_l1_500_0_700_L_20_436_nx_14.json
578128.8074,1.5,0.7,20.436,14739,4096,1.648821577,12.6774862,SiCube_l1_500_0_700_L_20_436_nx_16.json
370545.9038,1.5,0.7,25.884,10125,2744,1.671929122,16.05715663,SiCube_l1_500_0_700_L_25_884_nx_14.json
